ID,Date,Time,Page Name,AVR_Age,product_name,Category,Reaction,Comments,Share ,Location,Review Rating
1,01/05/2022,10:15:00 PM,Bonolota,23,Shorts,Clothing,415,66,7,Maryland,3.3
2,01/06/2022,10:14:00 PM,Mystique Glint,67,Blouse,Clothing,388,65,49,Wisconsin,4.8
3,01/06/2022,9:37:00 PM,Face of Korea,23,Coat,Outerwear,689,436,428,Idaho,4.1
4,01/07/2022,4:58:00 PM,Khan Brothers,26,Sunglasses,Accessories,948,71,58,Wyoming,3.4
5,01/09/2022,11:03:00 PM,Carnesia,52,Shorts,Clothing,6000,2000,106,Indiana,3.6
6,1/14/2022,10:10:00 PM,Dorado Bangladesh,52,Dress,Clothing,387,59,27,Texas,2.7
7,1/16/2022,4:18:00 PM,Shohodor Fashion,52,Handbag,Accessories,138,165,56,Ohio,3.2
8,1/19/2022,7:35:00 PM,Orchild-redefine beauty,35,Boots,Footwear,24000,20000,4200,Kansas,4.4
9,1/19/2022,8:42:00 PM,Khandani Khanapina ,24,Pants,Clothing,1500,381,179,South Carolina,4.9
10,1/22/2022,7:36:00 PM,Tarana's Fashion World,43,Boots,Footwear,564,386,214,Michigan,4.8
11,1/23/2022,9:27:00 PM,Urbi,25,Skirt,Clothing,6400,3400,184,Nebraska,2.8
12,1/23/2022,11:42:00 PM,Plaboni's Fashion Gallery,46,Sneakers,Footwear,2000,199,165,Wisconsin,2.9
13,1/25/2022,10:36:00 PM,Delicious Cake Bake,22,Jewelry,Accessories,2500,323,25,Illinois,3.2
14,1/25/2022,10:39:00 PM,Angels by Jamila Bristy,70,T-shirt,Clothing,322,213,6,Louisiana,3.5
15,1/26/2022,7:39:00 PM,Jiniya Creation,49,Sandals,Footwear,376,247,17,Ohio,4.1
16,1/27/2022,6:03:00 PM,Niton Diamond,48,Boots,Footwear,5300,1300,100,Maryland,4.1
17,1/27/2022,9:31:00 PM,RAID,59,Coat,Outerwear,398,66,4,Texas,4.8
18,1/28/2022,9:32:00 PM,Abaya Closet,39,Belt,Accessories,2700,1000,19,Illinois,2.8
19,1/28/2022,10:26:00 PM,The Mart Bangladesh,30,Sunglasses,Accessories,934,433,20,Pennsylvania,4.7
20,1/28/2022,10:10:00 PM,Zircon,37,Sandals,Footwear,764,110,154,Alabama,4.8
21,1/30/2022,11:18:00 PM,Sananda Fashion,56,Boots,Footwear,6200,2600,279,West Virginia,2.9
22,02/01/2022,4:45:00 PM,Nahida Fashion House,67,Hoodie,Clothing,181,380,126,Nevada,2.6
23,02/02/2022,11:41:00 PM,BABON,40,Hat,Accessories,950,360,23,Florida,3.3
24,02/03/2022,4:22:00 PM,Mulkzade,24,Shorts,Clothing,6300,2100,144,Virginia,3.4
25,02/04/2022,8:48:00 PM,Flounce,43,Backpack,Accessories,6200,2300,189,Kentucky,3.6
26,02/04/2022,11:00:00 PM,Nurjahan's,45,Shorts,Clothing,121,15,9,Connecticut,3.8
27,02/05/2022,7:54:00 AM,Clovelly Trend,33,Belt,Accessories,7600,4700,370,Montana,3.4
28,02/06/2022,8:59:00 PM,La Vencee,53,Shorts,Clothing,4600,2900,200,Montana,3.8
29,02/06/2022,6:52:00 PM,Diamond Corner,44,Socks,Clothing,928,617,71,Nebraska,3.3
30,02/07/2022,3:34:00 PM,Baking Tools Cumilla,23,Shoes,Footwear,197,227,265,Massachusetts,4.8
31,02/08/2022,10:08:00 PM,Perfecto,59,Sneakers,Footwear,2000,1000,418,North Carolina,3.9
32,02/08/2022,10:19:00 PM,Reasonable Fashion by Ani,68,Backpack,Accessories,491,340,209,Montana,4.2
33,02/09/2022,11:25:00 PM,Style by Tanzi,46,Dress,Clothing,409,237,174,Washington,4.7
34,02/10/2022,9:59:00 PM,Mollywaiz,56,Boots,Footwear,916,261,435,Virginia,2.7
35,02/10/2022,7:46:00 PM,Sunnah,40,Socks,Clothing,5700,11000,529,Georgia,3.8
36,02/11/2022,11:07:00 PM,La Ta Ra,61,Dress,Clothing,7600,5900,1000,Delaware,3.6
37,02/12/2022,9:09:00 PM,SLN Fashion,53,Handbag,Accessories,2700,1400,97,West Virginia,2.9
38,02/12/2022,7:31:00 PM,Nuqi ShopBD,29,Blouse,Clothing,15000,3700,1700,Wyoming,3.9
39,02/12/2022,10:35:00 PM,Anady's,44,Belt,Accessories,413,114,7,New Mexico,4.7
40,02/12/2022,9:41:00 PM,Trendy Beauty Lover,43,Pants,Clothing,345,63,6,Nebraska,3.3
41,02/12/2022,10:12:00 PM,Blossom & Bubbsle,40,Sneakers,Footwear,443,238,169,Washington,4.2
42,2/13/2022,9:20:00 PM,Taheer Boutique,55,Boots,Footwear,9600,3800,369,Hawaii,2.6
43,2/13/2022,11:40:00 PM,Exclusive Warebd,66,Sunglasses,Accessories,3700,1400,175,Louisiana,4.9
44,2/15/2022,11:22:00 PM,Darawiz,50,Hat,Accessories,3700,2200,127,Tennessee,3.6
45,2/15/2022,9:10:00 PM,Dobazar.com,57,Coat,Outerwear,887,329,287,South Dakota,4.7
46,2/17/2022,9:59:00 PM,Limas Beauty Shop,42,Jacket,Outerwear,735,364,60,Delaware,3.2
47,2/17/2022,4:35:00 PM,Shimla Abaya Collection,55,Hoodie,Clothing,122,324,190,Virginia,3.6
48,2/18/2022,9:10:00 PM,Eye Mind Valley,25,Boots,Footwear,4800,1900,143,Utah,3.6
49,2/18/2022,8:43:00 PM,Girl?s Hood,22,T-shirt,Clothing,931,325,74,California,3.2
50,2/18/2022,4:40:00 PM,Hello pretties,49,Sweater,Clothing,100,311,906,Idaho,2.8
51,2/19/2022,10:16:00 PM,Aohon Bari,70,Shoes,Footwear,4700,2600,135,Texas,4
52,2/19/2022,5:29:00 PM,Karukonna,56,Scarf,Accessories,336,285,17,Tennessee,4.4
53,2/19/2022,10:48:00 PM,Iraniya Herbal Beauty Solution,52,Dress,Clothing,493,318,15,Tennessee,3.4
54,2/21/2022,11:48:00 PM,Da Gorgeous Collection,65,Jacket,Outerwear,2400,1300,86,Washington,5
55,2/21/2022,10:54:00 PM,Choosett,24,Shoes,Footwear,5000,2400,241,Alabama,3.1
56,2/21/2022,9:49:00 PM,Hater Chowa,32,Backpack,Accessories,3800,2500,235,Nebraska,4.2
57,2/21/2022,4:48:00 PM,Trendy Beauty Lovers,57,Dress,Clothing,5400,2800,180,Alabama,3.3
58,2/21/2022,12:03:00 PM,Alyal's,35,Shirt,Clothing,348,302,16,Illinois,2.9
59,2/22/2022,9:54:00 PM,Glam Closet,69,Jacket,Outerwear,8000,2800,200,Wisconsin,4.7
60,2/22/2022,11:00:00 PM,Sainika's Fashion House,30,Sunglasses,Accessories,1900,1500,145,Nebraska,4
61,2/23/2022,9:04:00 PM,Jhinuk's Collection ,37,Jacket,Outerwear,835,334,48,North Dakota,4.6
62,2/24/2022,10:24:00 PM,erasiasupplies.com,19,Coat,Outerwear,1000,403,38,Mississippi,3.8
